expiry,option_type,K,T,S0,lastPrice,iv
2025-11-21,Call,100.0,0.010958904109589041,268.2200012207031,173.09,1.0000000000000003e-05
2025-11-21,Call,105.0,0.010958904109589041,268.2200012207031,134.9,1.0000000000000003e-05
2025-11-21,Call,110.0,0.010958904109589041,268.2200012207031,157.1,2.6406283984375003
2025-11-21,Call,115.0,0.010958904109589041,268.2200012207031,154.82,4.066411166992188
2025-11-21,Call,120.0,0.010958904109589041,268.2200012207031,153.13,2.3906290234374996
2025-11-21,Call,125.0,0.010958904109589041,268.2200012207031,147.14,3.7060554223632813
2025-11-21,Call,130.0,0.010958904109589041,268.2200012207031,108.05,1.0000000000000003e-05
2025-11-21,Call,135.0,0.010958904109589041,268.2200012207031,136.6,3.373048442382812
2025-11-21,Call,140.0,0.010958904109589041,268.2200012207031,132.75,1.953125234375
2025-11-21,Call,145.0,0.010958904109589041,268.2200012207031,123.1,3.0634789038085932
2025-11-21,Call,150.0,0.010958904109589041,268.2200012207031,124.5,2.8925808935546877
2025-11-21,Call,155.0,0.010958904109589041,268.2200012207031,113.2,2.7734405664062503
2025-11-21,Call,160.0,0.010958904109589041,268.2200012207031,108.86,1.5781271093749998
2025-11-21,Call,165.0,0.010958904109589041,268.2200012207031,104.38,2.50000375
2025-11-21,Call,170.0,0.010958904109589041,268.2200012207031,98.06,2.0898485253906243
2025-11-21,Call,175.0,0.010958904109589041,268.2200012207031,99.0,1.685548447265625
2025-11-21,Call,180.0,0.010958904109589041,268.2200012207031,94.0,1.2421912890624998
2025-11-21,Call,185.0,0.010958904109589041,268.2200012207031,83.38,1.2421912890624998
2025-11-21,Call,190.0,0.010958904109589041,268.2200012207031,78.92,1.8759771826171874
2025-11-21,Call,195.0,0.010958904109589041,268.2200012207031,73.38,1.2793004785156248
2025-11-21,Call,200.0,0.010958904109589041,268.2200012207031,70.37,0.937500625
2025-11-21,Call,205.0,0.010958904109589041,268.2200012207031,63.78,1.12109814453125
2025-11-21,Call,210.0,0.010958904109589041,268.2200012207031,59.35,0.9960937890625
2025-11-21,Call,215.0,0.010958904109589041,268.2200012207031,53.87,1.0058643457031249
2025-11-21,Call,220.0,0.010958904109589041,268.2200012207031,48.05,0.8300798242187499
2025-11-21,Call,225.0,0.010958904109589041,268.2200012207031,43.0,0.778322529296875
2025-11-21,Call,227.5,0.010958904109589041,268.2200012207031,41.12,1.052739111328125
2025-11-21,Call,230.0,0.010958904109589041,268.2200012207031,39.47,0.523442265625
2025-11-21,Call,232.5,0.010958904109589041,268.2200012207031,41.81,0.73437765625
2025-11-21,Call,235.0,0.010958904109589041,268.2200012207031,32.88,0.45703667968750006
2025-11-21,Call,237.5,0.010958904109589041,268.2200012207031,31.46,0.6113320117187502
2025-11-21,Call,240.0,0.010958904109589041,268.2200012207031,27.9,0.44727115234375
2025-11-21,Call,242.5,0.010958904109589041,268.2200012207031,24.69,0.442388388671875
2025-11-21,Call,245.0,0.010958904109589041,268.2200012207031,22.94,0.40430283203125
2025-11-21,Call,247.5,0.010958904109589041,268.2200012207031,21.09,0.387701435546875
2025-11-21,Call,250.0,0.010958904109589041,268.2200012207031,18.17,0.34766277343749996
2025-11-21,Call,252.5,0.010958904109589041,268.2200012207031,15.65,0.3227606787109374
2025-11-21,Call,255.0,0.010958904109589041,268.2200012207031,13.15,0.3154365332031249
2025-11-21,Call,257.5,0.010958904109589041,268.2200012207031,11.85,0.2951730639648437
2025-11-21,Call,260.0,0.010958904109589041,268.2200012207031,8.92,0.2846751220703124
2025-11-21,Call,262.5,0.010958904109589041,268.2200012207031,6.81,0.2795482202148437
2025-11-21,Call,265.0,0.010958904109589041,268.2200012207031,5.05,0.2601392346191406
2025-11-21,Call,267.5,0.010958904109589041,268.2200012207031,3.55,0.26197027099609377
2025-11-21,Call,270.0,0.010958904109589041,268.2200012207031,2.3,0.249030947265625
2025-11-21,Call,272.5,0.010958904109589041,268.2200012207031,1.37,0.24390404541015626
2025-11-21,Call,275.0,0.010958904109589041,268.2200012207031,0.73,0.23511507080078126
2025-11-21,Call,277.5,0.010958904109589041,268.2200012207031,0.36,0.231452998046875
2025-11-21,Call,280.0,0.010958904109589041,268.2200012207031,0.18,0.23194127441406248
2025-11-21,Call,282.5,0.010958904109589041,268.2200012207031,0.09,0.23633576171874998
2025-11-21,Call,285.0,0.010958904109589041,268.2200012207031,0.04,0.2461012890625
2025-11-21,Call,287.5,0.010958904109589041,268.2200012207031,0.02,0.257819921875
2025-11-21,Call,290.0,0.010958904109589041,268.2200012207031,0.01,0.2695385546875
2025-11-21,Call,292.5,0.010958904109589041,268.2200012207031,0.01,0.29688203124999996
2025-11-21,Call,295.0,0.010958904109589041,268.2200012207031,0.01,0.3242255078124999
2025-11-21,Call,297.5,0.010958904109589041,268.2200012207031,0.01,0.32031929687499994
